Symbol,Description,Sector,Index,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Analyst rating
ADANIENT,Adani Enterprises Limited,Distribution services,"Nifty 50, Nifty 500, Nifty Metal, Nifty 200, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty 50 Equal Weight, Nifty LargeMidCap 250, Nifty 500 Equal Weight, Nifty 100 Equal Weight, Nifty High Beta 50, Nifty 100 Liquid 15, Nifty 100 Alpha 30, Nifty 500 LargeMidSmall Equal-Cap, Nifty India Select 5 Corporate Groups (MAATR)",3077.2,INR,-0.8857538570554321,1716315,0.5749441893960757,4195633544922,INR,49.33932571298468,62.3681,INR,16.005185703231952,0.0419354838709677,Strong buy
ADANIGREEN,Adani Green Energy Limited,Utilities,"Nifty 500, Nifty Next 50, Nifty Infrastructure, Nifty 200, Nifty Energy, Nifty Commodities, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty 200 Momentum 30, Nifty LargeMidCap 250, Nifty 500 Equal Weight, Nifty Housing, Nifty 100 Equal Weight, Nifty Rural, Nifty 200 Alpha 30, Nifty High Beta 50, Nifty 100 Alpha 30, Nifty 500 LargeMidSmall Equal-Cap, Nifty India Select 5 Corporate Groups (MAATR)",1299.1,INR,-1.209125475285178,1163355,0.6945511625316169,2164718812564.9998,INR,119.94607920079034,10.8307,INR,3.282315357841041,0,Buy
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Transportation,"Nifty 50, Nifty 500, Nifty Infrastructure, Nifty 200, Nifty Services Sector, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty 50 Equal Weight, Nifty LargeMidCap 250, Nifty 500 Equal Weight, Nifty 100 Equal Weight, Nifty Transportation & Logistics, Nifty Mobility, Nifty 50 Value 20, Nifty 500 Multicap Infrastructure 50:30:20, Nifty High Beta 50, Nifty 100 Alpha 30, Nifty 500 LargeMidSmall Equal-Cap, Nifty India Select 5 Corporate Groups (MAATR)",1768,INR,-0.39436619718309857,2777377,0.8262002544065792,4081578651268,INR,30.17296550076371,58.5955,INR,12.071570652589706,0.423358076260901,Strong buy
ALKEM,Alkem Laboratories Ltd.,Health technology,"Nifty 500, Nifty Pharma, Nifty Healthcare, Nifty 200, Nifty MidCap 100, Nifty MidCap 50, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Manufacturing, Nifty LargeMidCap 250, Nifty 500 Equal Weight, Nifty 500 Multicap India Manufacturing 50:30:20, Nifty MidSmall Healthcare, Nifty MidCap 150 Quality 50, Nifty MidSmall India Consumption, Nifty 500 LargeMidSmall Equal-Cap, Nifty Alpha Quality Low-Volatility 30, Nifty Alpha Quality Value Low-Volatility 30, Nifty Quality Low-Volatility 30",5138,INR,-0.01945903872348706,41390,0.3170546928920459,614564112549,INR,28.50437995484125,180.253,INR,-5.663399002377614,1.03112840466926,Buy
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Health services,"Nifty 50, Nifty 500, Nifty Infrastructure, Nifty Healthcare, Nifty 200, Nifty India Consumption, Nifty Services Sector, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty 50 Equal Weight, Nifty LargeMidCap 250, Nifty 500 Equal Weight, Nifty 100 Equal Weight, Nifty Alpha Low Volatility 30, Nifty 100 Low Volatility 30, Nifty 500 Multicap Infrastructure 50:30:20, Nifty Growth Sectors 15, Nifty 500 LargeMidSmall Equal-Cap, Nifty 500 Low Volatility 50, Nifty Low Volatility 50",8900,INR,-0.7471841195494591,329159,1.157810761594587,1288310488281,INR,61.2725271199778,145.2527,INR,32.730263308188924,0.223214285714286,Strong buy
ASIANPAINT,Asian Paints Ltd.,Process industries,"Nifty 50, Nifty 500, Nifty 200, Nifty India Consumption, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty 50 Equal Weight, Nifty LargeMidCap 250, Nifty 500 Equal Weight, Nifty Housing, Nifty 100 Equal Weight, Nifty Rural, Nifty Core Housing, Nifty Alpha Low Volatility 30, Nifty 100 Low Volatility 30, Nifty 200 Quality 30, Nifty Non-Cyclical Consumer, Nifty 100 Quality 30, Nifty 500 LargeMidSmall Equal-Cap, Nifty 500 Low Volatility 50, Nifty Low Volatility 50, Nifty 500 Multicap Momentum Quality 50, Nifty Alpha Quality Low-Volatility 30, Nifty Quality Low-Volatility 30",2498.1,INR,0.365608678184006,549332,0.9203805760579948,2380824838642,INR,50.28381642512077,49.68,INR,32.43903219270838,1.10793279883969,Buy
AXISBANK,Axis Bank Limited,Finance,"Nifty 50, Nifty Bank, Nifty Financial Services, Nifty 500, Nifty Financial Services 25/50, Nifty Private Bank, Nifty 200, Nifty Services Sector, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty 50 Equal Weight, Nifty LargeMidCap 250, Nifty 500 Equal Weight, Nifty Housing, Nifty 100 Equal Weight, Nifty Top 10 Equal Weight Index, Nifty 500 LargeMidSmall Equal-Cap, Nifty Top 20 Equal Weight, Nifty Low Volatility 50, Nifty Top 15 Equal Weight",1246,INR,0.6055712555510698,4150654,0.8759649291048731,3858867625366,INR,14.011019903294725,88.93,INR,-0.6146624944121559,0.0806776926179911,Strong buy
BAJAJFINSV,Bajaj Finserv Limited,Finance,"Nifty 50, Nifty Financial Services, Nifty 500, Nifty Financial Services 25/50, Nifty 200, Nifty Services Sector, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty 50 Equal Weight, Nifty LargeMidCap 250, Nifty Financial Services Ex-Bank, Nifty 500 Equal Weight, Nifty 100 Equal Weight, Nifty 100 Low Volatility 30, Nifty 500 LargeMidSmall Equal-Cap, Nifty Low Volatility 50",1940.5,INR,0.700570835495589,658197,1.1076023228455043,3087172320435,INR,30.806477218606126,62.99,INR,6.402027027027025,0.0674623767514271,Buy
BAJAJ_AUTO,Bajaj Auto Limited,Consumer durables,"Nifty 50, Nifty 500, Nifty Auto, Nifty 200, Nifty India Consumption, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Manufacturing, Nifty 50 Equal Weight, Nifty LargeMidCap 250, Nifty EV & New Age Automotive, Nifty 500 Equal Weight, Nifty 100 Equal Weight, Nifty Transportation & Logistics, Nifty Mobility, Nifty 50 Value 20, Nifty Dividend Opportunities 50, Nifty Rural, Nifty 500 Multicap India Manufacturing 50:30:20, Nifty India New Age Consumption, Nifty Alpha Low Volatility 30, Nifty 100 Low Volatility 30, Nifty 200 Quality 30, Nifty 100 Quality 30, Nifty 500 Quality 50, Nifty 500 LargeMidSmall Equal-Cap, Nifty 500 Multifactor MQVLv 50, Nifty 500 Low Volatility 50, Nifty Low Volatility 50, Nifty Alpha Quality Low-Volatility 30, Nifty Alpha Quality Value Low-Volatility 30, Nifty Quality Low-Volatility 30",11768,INR,-0.18659881255301103,121394,0.4769688116131537,3241311210327,INR,27.98682944752886,420.4835,INR,54.740280052256786,1.27172530733362,Buy
BAJFINANCE,Bajaj Finance Limited,Finance,"Nifty 50, Nifty Financial Services, Nifty 500, Nifty Financial Services 25/50, Nifty 200, Nifty Services Sector, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty 50 Equal Weight, Nifty LargeMidCap 250, Nifty Financial Services Ex-Bank, Nifty 500 Equal Weight, Nifty 100 Equal Weight, Nifty Rural, Nifty 100 Liquid 15, Nifty 500 LargeMidSmall Equal-Cap, Nifty Top 20 Equal Weight, Nifty Top 15 Equal Weight",1043.5,INR,0.40411815645146215,3902988,0.6866257402690029,6474995312500,INR,32.03868590727664,32.57,INR,16.05202209157313,0.576923076923077,Buy
